_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress
blik.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.061986177627198276	0.25025724325210036	1	FOC	1276	276	blik	NA	NA	BOW	bound	1276	all	10_10	no	all	4_4	0.22187079644166358
blik.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.18255126464191263	-0.027372475950599405	1	5000	5000	257	blik	NA	NA	BOW	bound	384	lex	5_5	weight	nav	4_4	0.2758604709609045
blik.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.20436759192347964	-0.22603237475427973	1	5000	5000	257	blik	NA	NA	BOW	bound	384	lex	5_5	weight	all	4_4	0.3061772688161302
blik.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.17925450867984563	-0.023037378701506003	1	FOC	267	257	blik	NA	NA	BOW	bound	384	lex	5_5	weight	nav	4_4	0.30182835196427504
blik.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.1759927531032935	-0.02182465930593204	1	FOC	384	257	blik	NA	NA	BOW	bound	384	lex	5_5	weight	all	4_4	0.3048371651510153
blik.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.18782813337323886	0.030070318369949924	1	5000	5000	257	blik	NA	NA	BOW	bound	384	lex	5_5	selection	nav	4_4	0.2675811490046442
blik.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.23030177414922023	-0.21169779688755314	1	5000	5000	257	blik	NA	NA	BOW	bound	384	lex	5_5	selection	all	4_4	0.2846724836697536
blik.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.18749903123132564	0.02268533451326339	1	FOC	267	257	blik	NA	NA	BOW	bound	384	lex	5_5	selection	nav	4_4	0.2903987794071226
blik.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.17870470753871487	0.018133739560087694	1	FOC	384	257	blik	NA	NA	BOW	bound	384	lex	5_5	selection	all	4_4	0.29207294585980986
blik.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.23146303205302302	0.10637704389616484	1	5000	5000	273	blik	NA	NA	BOW	bound	595	lex	5_5	no	nav	4_4	0.2578087124056317
blik.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.4166396023033726	-0.15345152630559683	1	5000	5000	273	blik	NA	NA	BOW	bound	595	lex	5_5	no	all	4_4	0.271862398102858
blik.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.22630970359843605	0.08325475132537287	1	FOC	430	273	blik	NA	NA	BOW	bound	595	lex	5_5	no	nav	4_4	0.2784938996722822
blik.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.22555576090509719	0.07951234668628776	1	FOC	595	273	blik	NA	NA	BOW	bound	595	lex	5_5	no	all	4_4	0.2753355204271086
blik.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	0.03642576364395588	-0.03066316411453101	1	5000	5000	276	blik	NA	NA	BOW	bound	483	all	5_5	weight	nav	4_4	0.2601589569954605
blik.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	0.08865490991293469	-0.10086941132204742	1	5000	5000	276	blik	NA	NA	BOW	bound	483	all	5_5	weight	all	4_4	0.2787480550546336
blik.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.025467123920569355	-0.01792783943238768	1	FOC	267	276	blik	NA	NA	BOW	bound	483	all	5_5	weight	nav	4_4	0.2808212201779306
blik.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.027786380319180508	-0.021955977545811325	1	FOC	483	276	blik	NA	NA	BOW	bound	483	all	5_5	weight	all	4_4	0.27432794635196933
blik.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.17669914401846917	0.07499699160863689	1	5000	5000	276	blik	NA	NA	BOW	bound	483	all	5_5	selection	nav	4_4	0.21713838729073637
blik.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	0.2592475200599309	0.12690634331403047	1	5000	5000	276	blik	NA	NA	BOW	bound	483	all	5_5	selection	all	4_4	0.2406816884293147
blik.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.042455312034762015	0.05417867310157584	1	FOC	267	276	blik	NA	NA	BOW	bound	483	all	5_5	selection	nav	4_4	0.2513620068487169
blik.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.04624875038746228	0.056236874608256944	1	FOC	483	276	blik	NA	NA	BOW	bound	483	all	5_5	selection	all	4_4	0.2446115686830962
blik.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.12437748938663326	0.1170609241725569	1	5000	5000	276	blik	NA	NA	BOW	bound	787	all	5_5	no	nav	4_4	0.0695774119083226
blik.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	0.21482963023370089	0.1990725752691056	1	5000	5000	276	blik	NA	NA	BOW	bound	787	all	5_5	no	all	4_4	0.2252707640989636
blik.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.014320482122512414	0.12491088085524298	1	FOC	430	276	blik	NA	NA	BOW	bound	787	all	5_5	no	nav	4_4	0.25108269895500357
blik.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	0.009214142475929945	0.14153280729430193	1	FOC	787	276	blik	NA	NA	BOW	bound	787	all	5_5	no	all	4_4	0.24460481516210583
blik.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.20478943122559212	-0.05263185873091858	1	5000	5000	233	blik	NA	NA	BOW	bound	268	lex	3_3	weight	nav	4_4	0.2757443933423639
blik.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.22265071820301896	-0.2267512990698053	1	5000	5000	233	blik	NA	NA	BOW	bound	268	lex	3_3	weight	all	4_4	0.3029981607718756
blik.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.1815072253388095	-0.05886294962044036	1	FOC	186	233	blik	NA	NA	BOW	bound	268	lex	3_3	weight	nav	4_4	0.3110909461771947
blik.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.17669822192946819	-0.056716347124371624	1	FOC	268	233	blik	NA	NA	BOW	bound	268	lex	3_3	weight	all	4_4	0.31230895448806917
blik.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.20344933524704545	-0.03818747152998589	1	5000	5000	233	blik	NA	NA	BOW	bound	268	lex	3_3	selection	nav	4_4	0.2680002061790982
blik.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.24106297712959532	-0.22317320421274287	1	5000	5000	233	blik	NA	NA	BOW	bound	268	lex	3_3	selection	all	4_4	0.2886428302171971
blik.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.18278271738696886	-0.04033674216225435	1	FOC	186	233	blik	NA	NA	BOW	bound	268	lex	3_3	selection	nav	4_4	0.3065058278910921
blik.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.1776466044991275	-0.04564723094978754	1	FOC	268	233	blik	NA	NA	BOW	bound	268	lex	3_3	selection	all	4_4	0.30725072447467294
blik.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.2530947698312106	0.04840147901043021	1	5000	5000	254	blik	NA	NA	BOW	bound	384	lex	3_3	no	nav	4_4	0.2624570128276494
blik.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	-0.3520624184631832	-0.2029977251038152	1	5000	5000	254	blik	NA	NA	BOW	bound	384	lex	3_3	no	all	4_4	0.27493885443533617
blik.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.23488010204371534	0.015163256249871979	1	FOC	277	254	blik	NA	NA	BOW	bound	384	lex	3_3	no	nav	4_4	0.29654813400685603
blik.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	-0.23555490247868208	0.01256448613507924	1	FOC	384	254	blik	NA	NA	BOW	bound	384	lex	3_3	no	all	4_4	0.2964229069640127
blik.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	0.10105854837272425	-0.050414763143156884	1	5000	5000	276	blik	NA	NA	BOW	bound	350	all	3_3	weight	nav	4_4	0.2550914971020224
blik.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	0.210318087283138	-0.04918881235656543	1	5000	5000	276	blik	NA	NA	BOW	bound	350	all	3_3	weight	all	4_4	0.26951494836977513
blik.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	0.002039851474164688	-0.06499954148916323	1	FOC	186	276	blik	NA	NA	BOW	bound	350	all	3_3	weight	nav	4_4	0.28356332661513345
blik.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	0.004808973783541307	-0.06496684583924678	1	FOC	350	276	blik	NA	NA	BOW	bound	350	all	3_3	weight	all	4_4	0.27063304613706485
blik.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.24268259815864687	0.026260125408411522	1	5000	5000	276	blik	NA	NA	BOW	bound	350	all	3_3	selection	nav	4_4	0.2284848379498237
blik.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	0.3329451589659074	0.07132201135227562	1	5000	5000	276	blik	NA	NA	BOW	bound	350	all	3_3	selection	all	4_4	0.22539930750042828
blik.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.08775251076524095	0.01834176508912837	1	FOC	186	276	blik	NA	NA	BOW	bound	350	all	3_3	selection	nav	4_4	0.249533825838598
blik.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.09724001110539156	0.025355148535777538	1	FOC	350	276	blik	NA	NA	BOW	bound	350	all	3_3	selection	all	4_4	0.24168654291588237
blik.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	0.20887608262368915	0.04712589361186987	1	5000	5000	276	blik	NA	NA	BOW	bound	519	all	3_3	no	nav	4_4	0.22646715165456116
blik.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	0.30702678681781764	0.09401825725403228	1	5000	5000	276	blik	NA	NA	BOW	bound	519	all	3_3	no	all	4_4	0.24145165960752668
blik.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.06279323931120563	0.053676702669499234	1	FOC	277	276	blik	NA	NA	BOW	bound	519	all	3_3	no	nav	4_4	0.2653063914352964
blik.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.06554783546333463	0.07177480701338557	1	FOC	519	276	blik	NA	NA	BOW	bound	519	all	3_3	no	all	4_4	0.2526136257475501
blik.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.20345141911443382	0.0030935145779712007	1	5000	5000	269	blik	NA	NA	BOW	nobound	613	lex	10_10	weight	nav	4_4	0.26245088881891704
blik.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.19857244994631532	-0.22859431041359304	1	5000	5000	269	blik	NA	NA	BOW	nobound	613	lex	10_10	weight	all	4_4	0.29941641773746686
blik.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.18826959762735612	0.008548200230210063	1	FOC	429	269	blik	NA	NA	BOW	nobound	613	lex	10_10	weight	nav	4_4	0.2821102539149317
blik.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.18442889624567851	0.005458673124456474	1	FOC	613	269	blik	NA	NA	BOW	nobound	613	lex	10_10	weight	all	4_4	0.2822348141226994
blik.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.2115382076293184	0.11406047211118389	1	5000	5000	269	blik	NA	NA	BOW	nobound	613	lex	10_10	selection	nav	4_4	0.2577988231218456
blik.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.22302342750625717	-0.26153569026390866	1	5000	5000	269	blik	NA	NA	BOW	nobound	613	lex	10_10	selection	all	4_4	0.28501418523434313
blik.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.23209152740194347	0.12150647206715309	1	FOC	429	269	blik	NA	NA	BOW	nobound	613	lex	10_10	selection	nav	4_4	0.2659204084163127
blik.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.21726370897341565	0.10685670552159274	1	FOC	613	269	blik	NA	NA	BOW	nobound	613	lex	10_10	selection	all	4_4	0.26639489064108735
blik.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.27067462516958757	0.23630370885335056	1	5000	5000	276	blik	NA	NA	BOW	nobound	1242	lex	10_10	no	nav	4_4	0.2590838309416403
blik.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.5924060133120741	0.17921070190853594	1	5000	5000	276	blik	NA	NA	BOW	nobound	1242	lex	10_10	no	all	4_4	0.26976077921742236
blik.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.29293783287703096	0.24070424479748437	1	FOC	905	276	blik	NA	NA	BOW	nobound	1242	lex	10_10	no	nav	4_4	0.25236182443609895
blik.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.2835451347182601	0.22833835659387802	1	FOC	1242	276	blik	NA	NA	BOW	nobound	1242	lex	10_10	no	all	4_4	0.2488754014261209
blik.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.02726025996582915	-0.04232697543365331	1	5000	5000	276	blik	NA	NA	BOW	nobound	746	all	10_10	weight	nav	4_4	0.2644153908876372
blik.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	0.018514165875349067	-0.15124307943652812	1	5000	5000	276	blik	NA	NA	BOW	nobound	746	all	10_10	weight	all	4_4	0.2812653192192786
blik.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.06194596039605823	-0.0033999953471994413	1	FOC	429	276	blik	NA	NA	BOW	nobound	746	all	10_10	weight	nav	4_4	0.2676289044544357
blik.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.06530386563275961	-0.01079740590232311	1	FOC	746	276	blik	NA	NA	BOW	nobound	746	all	10_10	weight	all	4_4	0.26128920001106765
blik.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.07376273391679862	0.18737157603925636	1	5000	5000	276	blik	NA	NA	BOW	nobound	746	all	10_10	selection	nav	4_4	0.24770754095451253
blik.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	0.22928098878934883	0.27758817072712977	1	5000	5000	276	blik	NA	NA	BOW	nobound	746	all	10_10	selection	all	4_4	0.2563048020827773
blik.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.035935377762262	0.1600724805514609	1	FOC	429	276	blik	NA	NA	BOW	nobound	746	all	10_10	selection	nav	4_4	0.2517183522734152
blik.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.0443709105019904	0.15974243766976895	1	FOC	746	276	blik	NA	NA	BOW	nobound	746	all	10_10	selection	all	4_4	0.23974582589722454
blik.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.022461875447890266	0.27163458158558407	1	5000	5000	276	blik	NA	NA	BOW	nobound	1645	all	10_10	no	nav	4_4	0.1849868957279139
blik.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	0.004803237744458522	0.5084040529731638	1	5000	5000	276	blik	NA	NA	BOW	nobound	1645	all	10_10	no	all	4_4	0.2674638701708182
blik.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.09734561860876687	0.2800193463280239	1	FOC	905	276	blik	NA	NA	BOW	nobound	1645	all	10_10	no	nav	4_4	0.1899488606282007
blik.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.11135603780421875	0.3193056735710378	1	FOC	1645	276	blik	NA	NA	BOW	nobound	1645	all	10_10	no	all	4_4	0.18912511354342668
blik.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.2002645756669198	-0.02259088426962714	1	5000	5000	262	blik	NA	NA	BOW	nobound	411	lex	5_5	weight	nav	4_4	0.2737408070026579
blik.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.21612617414610966	-0.22654214526708613	1	5000	5000	262	blik	NA	NA	BOW	nobound	411	lex	5_5	weight	all	4_4	0.3081957333925104
blik.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.2004047161995337	-0.017928417661428088	1	FOC	284	262	blik	NA	NA	BOW	nobound	411	lex	5_5	weight	nav	4_4	0.2990232583671896
blik.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.19366221160414654	-0.01960444627979894	1	FOC	411	262	blik	NA	NA	BOW	nobound	411	lex	5_5	weight	all	4_4	0.29962460757120035
blik.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.20832125918064898	0.03979650030435291	1	5000	5000	262	blik	NA	NA	BOW	nobound	411	lex	5_5	selection	nav	4_4	0.26614200829648205
blik.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.25580635837067456	-0.20981622892409846	1	5000	5000	262	blik	NA	NA	BOW	nobound	411	lex	5_5	selection	all	4_4	0.2814702236958002
blik.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.21233303313322835	0.03326736559289394	1	FOC	284	262	blik	NA	NA	BOW	nobound	411	lex	5_5	selection	nav	4_4	0.28458267156007916
blik.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.20344704746811224	0.026910470927177275	1	FOC	411	262	blik	NA	NA	BOW	nobound	411	lex	5_5	selection	all	4_4	0.2843755915018904
blik.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.25120080805202943	0.11839964388797941	1	5000	5000	276	blik	NA	NA	BOW	nobound	657	lex	5_5	no	nav	4_4	0.2598570539442109
blik.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.4359694554012618	-0.13351937507675793	1	5000	5000	276	blik	NA	NA	BOW	nobound	657	lex	5_5	no	all	4_4	0.275183660474136
blik.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.2467709184203031	0.09761448062881263	1	FOC	472	276	blik	NA	NA	BOW	nobound	657	lex	5_5	no	nav	4_4	0.2789069161281341
blik.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.2459122999961389	0.09338494699184141	1	FOC	657	276	blik	NA	NA	BOW	nobound	657	lex	5_5	no	all	4_4	0.273926533863672
blik.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	0.029748919589459275	-0.031002619838943746	1	5000	5000	276	blik	NA	NA	BOW	nobound	518	all	5_5	weight	nav	4_4	0.25969819224971763
blik.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	0.08312919647858988	-0.10565824869029115	1	5000	5000	276	blik	NA	NA	BOW	nobound	518	all	5_5	weight	all	4_4	0.28085728093458534
blik.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.03329065638229417	-0.016069523668322285	1	FOC	284	276	blik	NA	NA	BOW	nobound	518	all	5_5	weight	nav	4_4	0.2827729066926904
blik.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.035877409620688736	-0.023807756094392427	1	FOC	518	276	blik	NA	NA	BOW	nobound	518	all	5_5	weight	all	4_4	0.2754475185918956
blik.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.17618270587400822	0.08847115253703289	1	5000	5000	276	blik	NA	NA	BOW	nobound	518	all	5_5	selection	nav	4_4	0.243917676337701
blik.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	0.27519170944859533	0.1448376342565558	1	5000	5000	276	blik	NA	NA	BOW	nobound	518	all	5_5	selection	all	4_4	0.25051688695929863
blik.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.036691530460614345	0.07378532975525076	1	FOC	284	276	blik	NA	NA	BOW	nobound	518	all	5_5	selection	nav	4_4	0.25989807298637985
blik.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.03725856200820145	0.07500664584474809	1	FOC	518	276	blik	NA	NA	BOW	nobound	518	all	5_5	selection	all	4_4	0.24760262427790128
blik.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	0.11518888997209341	0.12964024998470627	1	5000	5000	276	blik	NA	NA	BOW	nobound	868	all	5_5	no	nav	4_4	0.25132929538895893
blik.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall	0.2187941513499115	0.22139063445189947	1	5000	5000	276	blik	NA	NA	BOW	nobound	868	all	5_5	no	all	4_4	0.2648708503816801
blik.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.006386457493295093	0.14522788273392798	1	FOC	472	276	blik	NA	NA	BOW	nobound	868	all	5_5	no	nav	4_4	0.2614648890940402
blik.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSall	-0.0013860135041551776	0.16658064117773133	1	FOC	868	276	blik	NA	NA	BOW	nobound	868	all	5_5	no	all	4_4	0.2479265742122109
blik.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.22191578246000215	-0.05125224662086008	1	5000	5000	238	blik	NA	NA	BOW	nobound	279	lex	3_3	weight	nav	4_4	0.27710080988681396
blik.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.2339102161622335	-0.22955709433827948	1	5000	5000	238	blik	NA	NA	BOW	nobound	279	lex	3_3	weight	all	4_4	0.30627535772543163
blik.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.20087091629033582	-0.055662611693667215	1	FOC	193	238	blik	NA	NA	BOW	nobound	279	lex	3_3	weight	nav	4_4	0.31200324351886916
blik.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.1919379368748707	-0.056550419880720744	1	FOC	279	238	blik	NA	NA	BOW	nobound	279	lex	3_3	weight	all	4_4	0.3097571021750334
blik.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.22606681066315124	-0.03698161362316416	1	5000	5000	238	blik	NA	NA	BOW	nobound	279	lex	3_3	selection	nav	4_4	0.26865010973014464
blik.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.2512076668868806	-0.226650676668302	1	5000	5000	238	blik	NA	NA	BOW	nobound	279	lex	3_3	selection	all	4_4	0.2898882771336252
blik.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.2004677087257085	-0.04240876579980751	1	FOC	193	238	blik	NA	NA	BOW	nobound	279	lex	3_3	selection	nav	4_4	0.3067571224769164
